S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
17.0,20.0,3.0,13.0,0.0,17.0,1.3333333333333333,9.0,3.0,3.0,11.333333333333334,29.0,0.0,58.0,3.0,3.0,0.0,7.0,12.511111111111111,17.945414188648087,11.666666666666666,8.15168327075296,13.074074074074074,19.783731233712793,3.3333333333333335,4.714045207910317
28.0,17.0,13.0,10.0,0.0,6.0,3.0,14.333333333333334,1.3333333333333333,3.0,3.0,23.0,3.0,27.0,3.0,3.0,0.0,7.0,10.31111111111111,13.175524468765019,12.333333333333334,11.248405200563639,8.962962962962964,10.90190574663585,3.3333333333333335,4.714045207910317
7.0,7.0,6.0,3.0,62.0,24.0,3.0,26.0,7.0,5.0,0.0,16.0,19.0,3.0,11.0,3.0,0.0,0.0,13.266666666666666,17.41914268819723,18.166666666666668,21.755109578302037,10.0,10.786651382288406,1.0,1.414213562373095
10.0,7.0,12.0,3.0,17.0,6.0,1.3333333333333333,26.0,7.0,10.0,5.0,14.0,6.0,14.0,14.0,3.0,0.0,10.0,10.155555555555555,9.171098005182154,9.166666666666666,6.189729823004562,10.814814814814815,10.524519311644253,4.333333333333333,6.128258770283412
16.0,3.0,31.0,10.0,3.0,6.0,9.0,18.0,3.3333333333333335,0.0,3.0,12.666666666666666,12.0,14.0,3.0,6.0,0.0,13.0,9.6,11.537829148964569,11.5,13.08302309486436,8.333333333333334,10.021344319829481,6.333333333333333,6.971990895884116
22.0,0.0,22.0,10.0,6.0,3.0,30.0,9.0,0.0,4.333333333333333,22.0,8.0,7.333333333333333,3.0,0.0,50.0,0.0,9.0,9.777777777777777,14.944791228011306,10.5,13.911187702455303,9.296296296296296,14.1930920828904,19.666666666666668,23.727958292237656
19.0,0.0,229.0,14533.0,9.0,7.0,10.333333333333334,6.0,0.0,12.0,26.333333333333332,9.0,9.0,3.0,0.0,47.0,0.0,3.0,991.5111111111113,3620.962505103233,2466.1666666666665,5398.8240438728435,8.407407407407407,9.260738428975086,16.666666666666668,21.585531040406096
88.0,3.0,265.0,20976.666666666668,65.0,3.0,3.0,0.0,0.0,9.0,6.0,9.0,15.0,17.0,0.0,0.0,0.0,3.0,1430.6444444444444,5226.4645373672765,3566.777777777778,7787.363397649318,6.555555555555556,8.224089719468964,1.0,1.414213562373095
2002.0,3.0,2961.0,38783.0,345.0,6.0,15.0,9.0,11.0,6.0,6.0,6.0,22.0,6.0,0.0,0.0,0.0,3.0,2945.4,9649.471867701941,7350.0,14147.669256722022,9.0,10.896457538240787,1.0,1.414213562373095
1725.0,19.0,9433.0,15968.0,19.0,13.0,18.0,9.0,11.0,3.0,2.6666666666666665,9.0,6.0,3.0,3.0,3.0,0.0,0.0,1816.1111111111113,5651.800317928261,4529.5,8204.225646529288,7.185185185185186,7.689059770903689,1.0,1.414213562373095
865.0,25.0,8542.0,25444.333333333332,22.0,3367.0,21.0,7.333333333333333,11.0,0.0,7.0,189.33333333333334,9.0,3.0,0.0,3.0,0.0,0.0,2567.5333333333333,8233.002283592536,6377.555555555555,12022.432748089479,27.51851851851852,61.460177884622944,1.0,1.414213562373095
4825.0,9.0,9526.0,18153.666666666668,832.0,5742.0,24.0,6.0,13.0,3.0,33.0,386.3333333333333,8.666666666666666,6.0,18.0,0.0,0.0,0.0,2639.0444444444443,6295.675610097697,6514.61111111111,8471.009341048242,55.333333333333336,123.55146092252859,0.0,0.0
4553.0,37.0,2512.0,33787.333333333336,2930.0,15898.0,31.333333333333332,6.0,13.0,30.0,57.0,454.3333333333333,71.0,3.0,18.0,10.0,0.0,0.0,4026.7333333333336,9660.346541210229,9952.888888888889,13175.099828365897,75.96296296296295,139.23677190541687,3.3333333333333335,4.714045207910317
2059.0,6.0,3173.0,37252.666666666664,4639.0,16649.0,55.0,26.333333333333332,77.0,131.0,76.0,560.0,52.0,69.0,0.0,13.0,0.0,3.0,4321.666666666667,10192.856114022803,10629.77777777778,13763.907773539315,116.25925925925925,176.4672972343392,5.333333333333333,7.542472332656506
2815.0,12.0,3187.0,15630.666666666666,2133.0,15786.0,135.0,57.0,265.0,569.6666666666666,90.0,745.3333333333334,12.0,62.0,0.0,3.0,0.0,3.0,2766.6444444444446,5641.599532178094,6593.944444444444,7396.2856122724015,215.1111111111111,346.02963671892604,2.0,2.82842712474619
3217.0,113.0,2108.0,16815.0,850.0,11910.0,148.33333333333334,46.0,265.0,702.0,236.33333333333334,866.3333333333334,9.0,37.0,0.0,3.0,0.0,0.0,2488.2,5008.092666736552,5835.5,6597.636290669026,256.6666666666667,392.83496777738384,1.0,1.414213562373095
2285.0,38.0,1751.0,12537.0,2990.0,16247.0,157.0,167.33333333333334,368.6666666666667,727.0,394.0,661.6666666666666,28.0,17.0,3.0,12.0,0.0,0.0,2558.1111111111113,5249.01417960354,5974.666666666667,7008.006299143766,280.4074074074074,328.63774835683984,4.0,5.65685424949238
2672.0,53.0,2229.0,5984.0,2184.0,21232.0,199.0,443.0,319.0,681.0,444.0,433.3333333333333,96.33333333333333,54.0,10.0,22.0,0.0,0.0,2468.9111111111115,5856.104560745937,5725.666666666667,8205.602077413192,297.7407407407407,252.22554747888054,7.333333333333333,10.370899457402697
2269.0,49.0,2194.0,5293.0,934.0,12546.0,407.3333333333333,375.0,319.0,572.0,387.3333333333333,424.6666666666667,189.0,158.0,14.0,25.0,0.0,3.0,1742.0888888888887,3491.545742121433,3880.8333333333335,4750.352855698869,316.2592592592593,232.60027905913967,9.333333333333334,11.785113019775793
