S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
51.0,98.0,19.0,0.0,44.0,16.0,18.0,21.333333333333332,6.333333333333333,16.0,28.0,0.0,24.0,34.0,14.0,3.0,0.0,13.0,25.977777777777778,32.25765299143159,38.0,37.71809581592265,17.962962962962962,21.629798023751746,5.333333333333333,5.604148592365274
53.0,47.0,19.0,0.0,81.0,17.0,18.0,31.0,7.0,66.0,10.0,0.0,22.333333333333332,17.0,25.0,3.0,0.0,10.0,27.55555555555556,33.99788121241965,36.166666666666664,36.06274528733314,21.81481481481482,29.717515809302636,4.333333333333333,4.189935029992179
29.0,57.0,26.0,44.0,49.0,33.0,12.0,46.0,3.0,66.0,6.0,0.0,12.0,36.0,28.0,3.0,0.0,0.0,29.8,32.71124090704118,39.666666666666664,23.27760620728736,23.222222222222225,34.6836611624793,1.0,1.414213562373095
6.0,136.0,61.0,37.0,22.0,16.0,18.0,29.0,6.0,39.0,9.0,7.0,6.0,39.0,14.0,6.0,0.0,0.0,29.666666666666668,42.69690718325677,46.333333333333336,56.67130948657323,18.555555555555557,23.25764102857193,2.0,2.82842712474619
18.0,93.0,3.0,13.0,22.0,36.0,22.333333333333332,19.0,7.333333333333333,29.0,12.0,14.0,21.0,40.0,0.0,6.0,0.0,0.0,23.311111111111114,26.445928004104427,30.833333333333332,34.15591897048572,18.296296296296294,17.737273107861753,2.0,2.82842712474619
36.0,94.0,15.0,9.0,13.0,36.0,36.0,16.0,11.0,38.0,20.0,8.333333333333334,24.0,14.0,3.0,3.0,0.0,3.0,24.888888888888886,26.264555209351787,33.833333333333336,31.70730148316296,18.925925925925927,17.858385690101823,2.0,2.82842712474619
1312.0,19.0,21.0,13355.0,1468.0,13.0,31.333333333333332,47.333333333333336,25.333333333333332,6.0,9.0,3.0,19.333333333333332,21.0,3.0,0.0,0.0,13.0,1090.2222222222222,3743.758416861645,2698.0,5541.6925964403645,18.37037037037037,21.08868753051716,4.333333333333333,6.128258770283412
893.0,44.0,12.0,5760.666666666667,5583.0,7.0,27.0,44.333333333333336,24.0,9.0,6.0,36.0,26.333333333333332,11.0,3.0,9.0,0.0,13.0,832.4222222222221,2883.968278629218,2049.944444444445,4278.780078599923,20.74074074074074,19.29695484122519,7.333333333333333,6.687039425676265
1053.0,118.0,15.0,45254.666666666664,469.0,0.0,21.0,6.0,16.333333333333332,15.0,3.0,69.0,43.0,0.0,0.0,15.0,0.0,6.0,3138.8666666666663,11261.077292369615,7818.277777777778,16748.96868197076,19.25925925925926,27.169081775034286,7.0,8.106343992275557
2500.0,121.0,3201.0,40432.666666666664,440.0,16.0,9.0,12.0,6.0,6.0,3.0,51.0,24.0,14.0,3.0,6.0,0.0,0.0,3122.577777777778,10060.903949397965,7785.11111111111,14715.696750988815,14.222222222222223,21.28298646067504,2.0,2.82842712474619
1398.0,62.0,3164.0,37046.666666666664,175.0,4085.0,18.0,26.0,13.333333333333334,1.3333333333333333,4.333333333333333,33.0,9.0,21.0,3.0,10.0,0.0,0.0,3070.6444444444446,9443.138432528483,7655.11111111111,13679.185788628636,14.333333333333334,19.738883433319938,3.3333333333333335,4.714045207910317
2694.0,104.0,7774.0,48054.0,90.0,1561.0,150.33333333333334,36.0,19.333333333333332,13.0,20.0,151.0,9.0,23.0,0.0,10.0,0.0,3.0,4046.577777777777,12125.64048309293,10046.166666666666,17524.411555227376,46.851851851851855,72.11273058026335,4.333333333333333,6.128258770283412
1492.0,60.0,3635.0,29903.0,388.0,17774.0,248.0,46.333333333333336,40.333333333333336,81.0,28.0,269.0,9.0,32.0,3.0,3.0,0.0,17.0,3600.577777777778,8928.502499033468,8875.333333333334,12343.679912211925,84.07407407407408,147.87252862021674,6.666666666666667,7.432703590795691
1068.0,20.0,2154.0,12100.0,3873.0,21302.0,224.0,38.0,140.0,442.0,160.0,287.3333333333333,20.333333333333332,25.0,0.0,6.0,0.0,20.0,2790.2444444444445,6561.703241674688,6752.833333333333,9020.548581917705,148.5185185185185,210.088027967686,8.666666666666666,10.237130715043813
332.0,13.0,2158.0,9268.0,5067.0,12654.0,198.0,36.0,469.3333333333333,813.0,388.0,306.0,41.0,9.0,6.0,0.0,0.0,9.0,2117.222222222222,4536.448276337258,4915.333333333333,6180.651928038559,251.8148148148148,338.0928190235109,3.0,4.242640687119285
494.0,20.0,1935.0,6189.0,1957.0,11846.0,275.0,74.0,644.0,709.0,404.0,224.33333333333334,36.0,6.0,38.0,0.0,0.0,3.0,1656.7555555555555,3685.4202241209555,3740.1666666666665,5146.034024948044,267.81481481481484,301.09762637341254,1.0,1.414213562373095
844.0,20.0,1148.0,2362.0,993.0,9262.0,326.0,102.0,762.0,983.3333333333334,433.3333333333333,143.0,52.0,33.0,38.0,9.0,0.0,0.0,1166.7777777777778,2328.445351889904,2438.1666666666665,3251.908445544978,319.18518518518516,355.18124065338,3.0,4.242640687119285
828.0,98.0,950.0,1490.0,888.0,4542.0,380.3333333333333,150.0,714.3333333333334,984.3333333333334,468.3333333333333,136.33333333333334,81.0,52.0,19.0,21.0,0.0,7.0,785.4444444444445,1126.973889215208,1466.0,1471.755932195401,331.7407407407407,332.74823108342906,9.333333333333334,13.199326582148887
843.0,40.0,1113.0,1274.0,608.0,3630.0,353.0,215.0,980.0,1172.0,443.3333333333333,130.0,105.0,96.0,40.0,65.0,0.0,17.0,736.1555555555556,926.6950565600173,1251.3333333333333,1184.984837486263,392.7037037037037,402.3921197559498,27.333333333333332,29.180915488813145
1330.0,136.0,998.0,701.0,616.0,2186.0,400.0,161.33333333333334,857.0,1318.0,524.0,104.0,159.33333333333334,134.0,81.0,63.0,0.0,20.0,647.0444444444444,630.253137470664,994.5,696.5756811840934,415.4074074074074,415.3052343876577,27.666666666666668,27.579738101968456
928.0,312.0,718.0,400.0,664.0,1498.0,322.0,173.0,777.0,1089.0,421.0,78.0,243.33333333333334,146.0,79.0,64.0,0.0,7.0,523.2222222222222,421.07036684218946,753.3333333333334,405.6173719199616,369.81481481481484,339.11883505049894,23.666666666666668,29.176377899432353
794.0,262.0,591.0,419.0,642.0,1454.0,296.0,319.0,657.3333333333334,1021.3333333333334,429.0,71.0,354.0,196.0,49.0,71.0,0.0,16.0,503.64444444444445,380.46844171836557,693.6666666666666,397.4125588607926,376.962962962963,301.5387905833347,29.0,31.08662713857861
661.0,425.0,530.0,433.0,590.0,1174.0,275.0,320.0,613.3333333333334,813.3333333333334,437.0,64.0,320.0,292.0,43.0,68.0,0.0,12.0,466.0444444444444,294.27685615747913,635.5,277.21103820439106,353.0740740740741,245.46375037566202,26.666666666666668,29.70254335083281
692.0,363.0,367.0,353.0,547.0,739.0,242.33333333333334,357.0,620.0,654.0,402.0,116.0,492.0,352.0,29.0,105.0,0.0,6.0,421.68888888888887,219.0329275371787,510.1666666666667,180.70863479753314,362.7037037037037,220.9036561674901,37.0,48.45748098291826
646.0,638.0,558.0,364.0,536.0,588.0,257.0,364.0,555.3333333333334,553.0,440.3333333333333,168.0,484.3333333333333,408.0,37.0,115.0,0.0,3.0,439.8,226.22836772321705,555.0,211.41366479413907,363.0,199.26755256497447,39.333333333333336,53.54678872678775
658.0,422.0,364.0,404.0,419.0,611.0,268.0,369.0,508.0,479.0,474.0,126.33333333333333,498.3333333333333,354.0,105.0,58.0,0.0,0.0,403.9777777777778,174.65552426251188,479.6666666666667,142.86867712398694,353.51851851851853,168.27281835815867,19.333333333333332,27.34146220587984
626.0,492.0,374.0,341.0,594.0,486.0,253.0,329.0,488.0,468.0,351.0,85.0,498.0,379.0,111.0,73.0,0.0,6.0,391.6666666666667,173.57543258529822,485.5,124.62638919000044,329.1111111111111,171.80045879767044,26.333333333333332,33.15890657040796
416.0,572.0,382.0,306.0,439.0,487.0,276.0,367.0,520.0,427.0,284.0,72.33333333333333,371.0,442.0,51.0,116.0,0.0,6.0,360.82222222222225,167.28883797800984,433.6666666666667,119.97249732245916,312.2592592592593,173.71473258158304,40.666666666666664,53.370464331499555
570.0,430.0,380.0,352.0,402.0,396.0,217.33333333333334,396.0,452.0,385.0,349.3333333333333,60.0,409.0,463.0,116.0,132.0,0.0,9.0,358.5111111111111,166.09770259164998,421.6666666666667,139.71262206098342,316.4074074074074,161.82490719130513,47.0,60.53389974473519
546.0,384.0,367.0,278.0,404.0,409.0,246.0,383.3333333333333,408.3333333333333,304.0,324.0,59.333333333333336,334.0,449.0,123.0,133.0,0.0,6.0,334.59999999999997,150.72215203941133,398.0,120.26817429293821,292.33333333333337,148.35138560640652,46.333333333333336,61.49315217351049
435.0,318.0,434.0,181.0,405.0,412.0,259.0,453.3333333333333,330.0,303.0,343.0,59.0,318.0,342.0,75.0,123.0,0.0,17.0,311.15555555555557,154.29580556658962,364.1666666666667,127.72560110257943,275.8148148148148,153.66019044852894,46.666666666666664,54.64695109989909
471.0,341.0,345.0,217.0,408.0,295.0,333.0,356.3333333333333,383.3333333333333,344.0,300.0,95.33333333333333,270.3333333333333,414.0,55.0,117.0,0.0,6.0,308.5555555555556,149.55302617760927,346.1666666666667,121.2831174746646,283.48148148148147,157.84630343364583,41.0,53.990995627808154
