S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
29.0,10.0,0.0,25.0,6.0,12.0,6.0,90.0,3.0,41.666666666666664,30.666666666666668,6.333333333333333,41.0,39.0,9.0,15.0,0.0,3.0,23.244444444444444,29.965146911642318,13.666666666666666,14.744596643331413,29.62962962962963,35.07992275154418,6.0,7.071067811865475
28.0,20.0,6.0,48.0,3.0,18.0,24.0,91.0,29.333333333333332,55.0,6.0,3.0,41.0,24.0,3.0,12.0,3.0,10.0,26.622222222222224,35.42021779957343,20.5,22.649046066538357,30.7037037037037,39.88068319709477,8.333333333333334,8.05363833514845
9.0,49.0,6.0,7.0,9.0,29.0,24.0,147.0,3.0,14.0,9.0,17.333333333333332,33.666666666666664,35.0,11.0,12.0,0.0,10.0,26.866666666666664,40.42894363139338,18.166666666666668,21.10329541636499,32.666666666666664,46.85994889117648,7.333333333333333,8.432575717111463
38.0,43.0,15.0,0.0,12.0,10.0,27.0,108.0,3.0,14.0,6.0,32.0,21.0,52.0,11.0,3.0,0.0,10.0,26.133333333333336,34.3540041811444,19.666666666666668,22.586640126743948,30.444444444444443,38.0424438193877,4.333333333333333,6.128258770283412
45.0,23.0,18.0,0.0,13.0,39.0,16.333333333333332,67.0,6.333333333333333,60.0,12.0,17.333333333333332,44.0,3.0,0.0,3.0,0.0,17.0,24.266666666666666,28.39118589805321,23.0,27.504064453671088,25.111111111111114,28.414040404834537,6.666666666666667,9.428090415820634
13.0,16.0,42.0,0.0,420.0,23.0,6.0,67.0,11.333333333333334,49.0,15.0,3.0,44.0,14.0,3.0,0.0,0.0,0.0,48.422222222222224,110.18214193394006,85.66666666666667,158.21191456129137,23.59259259259259,27.213093176036313,0.0,0.0
478.0,14.0,34.0,63.0,4561.0,3.0,8.666666666666666,50.0,20.0,33.0,11.666666666666666,5.0,0.0,46.0,3.0,0.0,0.0,3.0,355.35555555555555,1247.0673309689107,858.8333333333334,1859.408669471937,19.703703703703702,22.05520451660372,1.0,1.414213562373095
2378.0,17.0,37.0,20191.0,1334.0,14.0,0.0,70.0,18.333333333333332,6.0,22.0,7.0,3.0,71.0,3.0,10.0,3.0,0.0,1611.4222222222222,5316.9851255389,3995.1666666666665,7821.7442788525705,22.259259259259263,30.233996385793706,4.333333333333333,4.189935029992179
3973.0,10.0,9.0,27810.333333333332,2630.0,31.0,12.0,91.0,5.0,3.0,19.0,8.666666666666666,6.0,26.0,3.0,13.0,0.0,3.0,2309.133333333333,6971.977944017293,5743.88888888889,10089.359863374268,19.296296296296298,29.765692120241255,5.333333333333333,5.604148592365274
2735.0,47.0,8140.0,20119.666666666668,3075.0,3809.0,24.0,89.0,0.0,10.0,0.0,11.0,6.0,20.0,0.0,3.0,0.0,20.0,2539.0444444444443,6228.0436989011505,6320.944444444445,8538.77279464248,17.77777777777778,28.9333024691834,7.666666666666667,8.995700525964287
