S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
0,9,0,0,0,0,4,9,0,0,4,36,0,111,0,0,0,0,11.533333333333333,28.066270781055962,1.5,3.3541019662496847,18.22222222222222,34.54715867968748,0.0,0.0
0,0,0,0,0,9,0,4,0,0,9,27,0,54,0,0,0,0,6.866666666666666,14.41234039132977,1.5,3.3541019662496847,10.444444444444445,17.512605689179765,0.0,0.0
0,0,0,0,0,9,0,0,0,0,0,18,0,0,0,0,0,0,1.8,4.874423042781577,1.5,3.3541019662496847,2.0,5.656854249492381,0.0,0.0
0,0,9,0,0,9,0,0,0,0,0,24,0,0,9,0,0,30,3.4,6.56048778674269,3.0,4.242640687119285,3.6666666666666665,7.717224601860149,10.0,14.142135623730951
0,9,39,21,0,9,0,0,0,0,9,30,18,0,9,9,0,39,9.6,11.909659944767524,13.0,13.601470508735444,7.333333333333333,10.011104945120804,16.0,16.673332000533065
0,0,39,0,0,0,0,0,0,4,9,24,9,0,0,102,0,9,5.666666666666667,10.934146311237818,6.5,14.534441853748634,5.111111111111111,7.593044250342173,37.0,46.10856753359401
9,0,0,17748,0,0,4,0,0,9,4,18,0,0,0,102,0,0,1186.1333333333334,4426.347913222467,2959.5,6613.619073548159,3.888888888888889,5.782049702781194,34.0,48.08326112068523
0,9,0,40653,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2711.4,10140.319592596676,6777.0,15149.808117596738,1.0,2.8284271247461903,0.0,0.0
4350,9,8616,52833,0,0,36,0,0,0,0,0,0,9,0,0,0,0,4390.2,13153.903001010765,10968.0,18985.528620504618,5.0,11.313708498984761,0.0,0.0
3558,0,27657,7916,0,18,36,0,0,0,0,9,9,9,9,0,0,0,2614.733333333333,7012.757693106344,6524.833333333333,9872.450665305392,8.0,10.770329614269007,0.0,0.0
1755,9,23214,1181,0,9186,9,0,0,0,0,18,18,0,0,0,0,0,2359.3333333333335,6023.571373270918,5890.833333333333,8361.974994315373,5.0,7.483314773547883,0.0,0.0
12036,0,26274,8542,0,14154,9,9,9,0,0,76,9,0,0,0,0,0,4074.5333333333333,7569.538179366618,10167.666666666666,9020.358264626868,12.444444444444445,22.867303738021096,0.0,0.0
9969,0,3843,35615,0,21366,49,9,9,9,0,135,0,0,0,0,0,0,4733.6,10009.995423242379,11798.833333333334,12934.507997557885,23.444444444444443,42.06109606832822,0.0,0.0
3309,0,3756,50352,0,29343,138,19,49,312,18,306,0,0,0,0,0,0,5840.133333333333,13928.384255979665,14460.0,19003.696877186816,93.55555555555556,122.17302039967846,0.0,0.0
6456,0,5439,23028,0,21018,378,120,216,1515,60,477,0,0,0,0,0,0,3913.8,7376.858420764223,9323.5,9325.072399182754,307.3333333333333,457.06916568745066,0.0,0.0
4947,249,3657,13308,0,4638,405,87,216,1428,129,454,0,0,0,9,0,0,1967.8666666666666,3472.895715233743,4466.5,4412.569801147626,302.1111111111111,429.3083441082734,3.0,4.242640687119285
2841,30,3660,11784,0,1470,207,288,405,1428,267,432,57,0,0,9,0,0,1524.6,2946.3584710622026,3297.5,4025.9636424091063,342.6666666666667,412.76573931899384,3.0,4.242640687119285
1134,21,4542,6771,0,462,207,876,417,1101,267,337,207,0,0,0,0,0,1089.4666666666667,1872.5384505768868,2155.0,2585.5978032168887,379.1111111111111,354.4157773151141,0.0,0.0
378,30,2352,4542,0,249,649,876,417,597,175,243,255,9,0,0,0,0,718.1333333333333,1169.1984642860634,1258.5,1676.5301220079525,357.8888888888889,283.0184306697453,0.0,0.0
228,258,2469,3375,0,516,885,661,571,840,288,271,255,0,0,0,0,0,707.8,924.8378019955715,1141.0,1294.8683330748343,419.0,315.02169237477386,0.0,0.0
759,594,2145,1497,0,306,900,1050,558,687,222,300,343,222,0,0,0,0,638.8666666666667,562.3983009299449,883.5,728.143014798604,475.77777777777777,327.40894502739326,0.0,0.0
1026,762,1257,855,0,132,627,960,558,573,261,262,573,300,9,9,0,0,543.6666666666666,368.5840775484234,672.0,456.85774591222594,458.1111111111111,262.63724219473204,3.0,4.242640687119285
843,1050,672,510,0,774,474,981,498,573,282,225,639,321,9,36,0,0,523.4,307.6423897969849,641.5,330.3471658725106,444.6666666666667,263.6087167670211,12.0,16.97056274847714
807,894,654,309,0,642,474,918,417,433,282,396,774,504,21,18,0,0,501.6666666666667,274.40302881386395,551.0,306.659420204239,468.77777777777777,245.14792712327693,6.0,8.48528137423857
873,846,1062,273,0,546,451,918,417,594,301,567,552,375,9,0,0,0,518.9333333333333,302.13759926379385,600.0,369.30881386720245,464.8888888888889,232.20079645975207,0.0,0.0
939,774,606,249,0,486,372,882,444,804,117,370,552,381,9,0,0,0,465.6666666666667,289.13011296338925,509.0,314.04458282224834,436.77777777777777,267.3785405574226,0.0,0.0
645,726,648,351,0,426,411,822,360,495,69,174,558,519,0,0,0,0,413.6,249.89325721195442,466.0,246.55830953346512,378.6666666666667,245.9665740615085,0.0,0.0
897,1110,441,246,0,225,591,615,360,417,216,214,234,387,9,36,0,0,397.46666666666664,294.4698890473448,486.5,392.0538866023394,338.1111111111111,182.3247678941463,12.0,16.97056274847714
