S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
39,0,0,0,9,9,0,87,0,45,0,4,9,75,0,0,0,0,18.466666666666665,28.14691615237607,9.5,13.793114224133722,24.444444444444443,33.230210856692544,0.0,0.0
9,0,0,93,0,0,72,48,0,45,0,0,9,45,0,9,0,30,21.4,29.977324763894458,17.0,34.14674215792775,24.333333333333332,26.436506745197804,13.0,12.569805089976535
9,78,0,0,18,0,72,153,0,33,0,0,27,0,0,9,0,30,26.0,42.23742416388575,17.5,27.84331158465171,31.666666666666668,48.74650984657488,13.0,12.569805089976535
9,90,36,0,9,0,72,69,0,33,0,0,18,27,0,0,0,0,24.2,29.280710373896326,24.0,31.89043743820395,24.333333333333332,27.402351886086148,0.0,0.0
0,30,36,0,0,78,40,69,0,33,0,0,0,9,0,0,0,21,19.666666666666668,25.83193544604989,24.0,28.35489375751565,16.77777777777778,23.56446372437285,7.0,9.899494936611665
0,9,48,0,9,30,9,81,4,0,9,0,0,0,9,0,0,0,13.866666666666667,22.063141712417615,16.0,17.46424919657298,12.444444444444445,24.554298610363798,0.0,0.0
1374,0,48,81,18,9,18,30,30,0,18,0,0,9,9,0,0,9,109.6,338.5826930012814,255.0,501.1646436052727,12.666666666666666,11.382247385975914,3.0,4.242640687119285
4767,0,9,49782,9,33,0,48,30,0,9,0,9,18,0,30,9,0,3647.6,12386.557142321673,9100.0,18276.182424127855,12.666666666666666,15.797327481430381,13.0,12.569805089976535
5388,0,0,34481,9,42,9,78,15,0,0,0,9,9,0,30,0,9,2669.3333333333335,8606.579635501099,6653.333333333333,12598.747843425639,13.333333333333334,23.456816114345575,13.0,12.569805089976535
4494,81,24393,24281,45,0,9,48,0,0,0,0,0,9,0,0,0,9,3557.3333333333335,8225.866484585209,8882.333333333334,11040.946210457789,7.333333333333333,14.83988619303471,3.0,4.242640687119285
5295,81,5142,20684,291,3228,22,48,0,0,0,13,9,19,0,0,0,21,2322.133333333333,5240.452408799158,5786.833333333333,6974.855205585912,12.333333333333334,15.018507101425078,7.0,9.899494936611665
13623,0,420,14645,495,10002,195,220,10,0,0,27,9,39,0,0,0,0,2645.6666666666665,5135.621723695086,6530.833333333333,6385.046056129031,55.55555555555556,82.38002874363707,0.0,0.0
20967,9,126,21558,1236,2622,498,288,30,51,51,54,9,18,0,0,0,0,3167.8,7130.203402428294,7753.0,9592.765815967781,111.0,159.6809318610084,0.0,0.0
7245,9,186,6030,3390,7422,636,486,30,57,72,81,18,0,0,18,0,0,1710.8,2735.180023325704,4047.0,3087.4620645442756,153.33333333333334,222.4385058592349,6.0,8.48528137423857
4191,9,255,4476,618,13278,639,591,79,207,93,123,9,9,0,36,0,0,1638.4666666666667,3414.8050967645117,3804.5,4609.881587416319,194.44444444444446,233.4176567210283,12.0,16.97056274847714
2688,63,495,1602,228,7590,639,852,240,207,93,165,63,30,0,96,0,0,997.0,1898.5276400410926,2111.0,2612.881551084932,254.33333333333334,277.5383857334973,32.0,45.254833995939045
1707,153,621,780,543,4194,1063,852,240,204,130,169,147,30,0,78,0,0,722.2,1033.2876463018417,1333.0,1363.479006072334,315.0,354.34352446931115,26.0,36.76955262170047
1788,387,495,780,753,1194,876,942,375,288,126,174,147,51,0,0,0,0,558.4,480.5757380476047,899.5,472.2607860070535,331.0,327.0443395015422,0.0,0.0
1113,390,618,348,735,1086,1146,780,390,357,231,208,300,162,0,0,0,0,524.2666666666667,356.35365704435935,715.0,301.7084685586402,397.1111111111111,332.4753773487743,0.0,0.0
507,702,735,393,732,1134,1029,738,390,468,312,243,774,294,0,51,0,0,563.4,296.81954113568736,700.5,231.6986188996387,472.0,300.26987860922713,17.0,24.041630560342615
771,966,576,426,378,1029,639,810,504,585,216,274,591,204,0,51,0,9,531.2666666666667,280.73723578384744,691.0,250.89440009693323,424.77777777777777,247.06399430906686,20.0,22.22611077089287
798,870,543,264,390,882,639,480,387,574,216,306,681,480,0,0,9,9,500.6666666666667,242.30632586780635,624.5,240.9258184587115,418.1111111111111,205.2280273497666,6.0,4.242640687119285
681,834,408,279,408,714,516,480,387,563,358,309,660,525,0,0,9,0,474.8,199.43593791825316,554.0,199.32636554154095,422.0,181.202158436985,3.0,4.242640687119285
