S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.242640687119285
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.242640687119285
0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.0,11.224972160321824,7.5,16.77050983124842,0.0,0.0,3.0,4.242640687119285
0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.0,11.224972160321824,7.5,16.77050983124842,0.0,0.0,3.0,4.242640687119285
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,30,0.6,2.244994432064365,1.5,3.3541019662496847,0.0,0.0,13.0,12.569805089976535
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.6,2.244994432064365,1.5,3.3541019662496847,0.0,0.0,10.0,14.142135623730951
0,0,0,0,0,1830,0,82,0,0,0,0,0,9,0,0,0,0,128.06666666666666,455.315929389205,305.0,682.0007331374359,10.11111111111111,25.57100981990888,0.0,0.0
9,0,3396,0,0,13026,9,234,18,0,0,52,0,9,0,0,0,0,1116.8666666666666,3291.976627431542,2738.5,4764.683961187772,35.77777777777778,71.82196782133163,0.0,0.0
5193,0,219,111,0,12582,81,159,18,0,0,105,78,66,0,30,0,21,1240.8,3289.3172179040434,3017.5,4667.305030743116,56.333333333333336,52.77836256985959,17.0,12.569805089976535
1950,0,348,1980,45,5142,234,570,25,108,0,181,300,123,9,30,0,21,734.3333333333334,1334.851485705016,1577.5,1796.06771865651,172.22222222222223,170.93584097080128,17.0,12.569805089976535
