S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
17.0,20.0,3.0,13.0,0.0,17.0,1.3333333333333333,9.0,3.0,3.0,11.333333333333334,29.0,0.0,58.0,3.0,3.0,0.0,7.0,12.511111111111111,17.945414188648087,11.666666666666666,8.15168327075296,13.074074074074074,19.783731233712793,3.3333333333333335,4.714045207910317
18.1,19.7,4.0,12.7,0.0,15.9,1.5,9.533333333333333,2.8333333333333335,3.0,10.5,28.4,0.3,54.9,3.0,3.0,0.0,7.0,12.29111111111111,17.46842521665978,11.733333333333333,8.461355463734028,12.662962962962963,18.8955486850051,3.3333333333333335,4.714045207910317
19.2,19.4,5.0,12.4,0.0,14.8,1.6666666666666665,10.066666666666666,2.6666666666666665,3.0,9.666666666666668,27.8,0.6,51.8,3.0,3.0,0.0,7.0,12.071111111111112,16.991436244671473,11.799999999999999,8.771027656715095,12.251851851851852,18.007366136297403,3.3333333333333335,4.714045207910317
20.3,19.1,6.0,12.1,0.0,13.7,1.8333333333333333,10.6,2.5,3.0,8.833333333333334,27.2,0.8999999999999999,48.7,3.0,3.0,0.0,7.0,11.851111111111111,16.514447272683167,11.866666666666667,9.080699849696163,11.840740740740742,17.11918358758971,3.3333333333333335,4.714045207910317
21.4,18.8,7.0,11.8,0.0,12.6,2.0,11.133333333333333,2.333333333333333,3.0,8.0,26.6,1.2,45.6,3.0,3.0,0.0,7.0,11.63111111111111,16.03745830069486,11.933333333333334,9.390372042677232,11.42962962962963,16.231001038882017,3.3333333333333335,4.714045207910317
22.5,18.5,8.0,11.5,0.0,11.5,2.166666666666667,11.666666666666668,2.1666666666666665,3.0,7.166666666666667,26.0,1.5,42.5,3.0,3.0,0.0,7.0,11.411111111111111,15.560469328706553,12.0,9.7000442356583,11.018518518518519,15.34281849017432,3.3333333333333335,4.714045207910317
23.6,18.2,9.0,11.2,0.0,10.399999999999999,2.333333333333333,12.200000000000001,2.0,3.0,6.333333333333334,25.4,1.7999999999999998,39.4,3.0,3.0,0.0,7.0,11.19111111111111,15.083480356718246,12.066666666666666,10.009716428639367,10.607407407407408,14.454635941466627,3.3333333333333335,4.714045207910317
24.700000000000003,17.9,10.0,10.9,0.0,9.299999999999999,2.5,12.733333333333334,1.8333333333333333,3.0,5.5,24.8,2.1,36.3,3.0,3.0,0.0,7.0,10.97111111111111,14.606491384729939,12.133333333333333,10.319388621620435,10.196296296296296,13.566453392758932,3.3333333333333335,4.714045207910317
25.8,17.6,11.0,10.6,0.0,8.2,2.666666666666667,13.266666666666667,1.6666666666666665,3.0,4.666666666666667,24.2,2.4,33.2,3.0,3.0,0.0,7.0,10.75111111111111,14.129502412741633,12.200000000000001,10.629060814601502,9.785185185185185,12.678270844051237,3.3333333333333335,4.714045207910317
26.9,17.3,12.0,10.3,0.0,7.1,2.8333333333333335,13.8,1.4999999999999998,3.0,3.833333333333334,23.6,2.6999999999999997,30.099999999999998,3.0,3.0,0.0,7.0,10.53111111111111,13.652513440753324,12.266666666666667,10.93873300758257,9.374074074074075,11.790088295343544,3.3333333333333335,4.714045207910317
