S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
29.0,10.0,0.0,25.0,6.0,12.0,6.0,90.0,3.0,41.666666666666664,30.666666666666668,6.333333333333333,41.0,39.0,9.0,15.0,0.0,3.0,23.244444444444444,29.965146911642318,13.666666666666666,14.744596643331413,29.62962962962963,35.07992275154418,6.0,7.071067811865475
28.9,11.0,0.6,27.3,5.7,12.6,7.8,90.1,5.633333333333333,43.0,28.200000000000003,6.0,41.0,37.5,8.4,14.7,0.3,3.7,23.58222222222222,30.51065400043543,14.35,15.535041585652108,29.737037037037037,35.55999879609924,6.233333333333333,7.169324864193772
28.8,12.0,1.2,29.6,5.4,13.2,9.6,90.2,8.266666666666666,44.33333333333333,25.733333333333334,5.666666666666666,41.0,36.0,7.8,14.4,0.6,4.4,23.919999999999998,31.05616108922854,15.033333333333333,16.325486527972803,29.844444444444445,36.0400748406543,6.466666666666667,7.26758191652207
28.7,13.0,1.7999999999999998,31.9,5.1,13.8,11.4,90.3,10.9,45.666666666666664,23.266666666666666,5.333333333333333,41.0,34.5,7.2,14.1,0.8999999999999999,5.1,24.25777777777778,31.60166817802165,15.716666666666665,17.115931470293496,29.95185185185185,36.52015088520936,6.7,7.365838968850367
28.6,14.0,2.4,34.2,4.8,14.4,13.2,90.4,13.533333333333333,47.0,20.8,5.0,41.0,33.0,6.6,13.8,1.2,5.8,24.595555555555556,32.14717526681476,16.4,17.90637641261419,30.059259259259257,37.000226929764416,6.933333333333334,7.464096021178665
28.5,15.0,3.0,36.5,4.5,15.0,15.0,90.5,16.166666666666664,48.33333333333333,18.333333333333336,4.666666666666666,41.0,31.5,6.0,13.5,1.5,6.5,24.933333333333334,32.69268235560787,17.083333333333332,18.696821354934883,30.166666666666664,37.48030297431947,7.166666666666667,7.562353073506962
28.4,16.0,3.5999999999999996,38.8,4.2,15.6,16.8,90.6,18.8,49.666666666666664,15.866666666666667,4.333333333333333,41.0,30.0,5.4,13.2,1.7999999999999998,7.199999999999999,25.27111111111111,33.23818944440099,17.766666666666666,19.48726629725558,30.274074074074072,37.960379018874534,7.4,7.660610125835261
28.3,17.0,4.2,41.099999999999994,3.9,16.2,18.6,90.7,21.433333333333334,51.0,13.400000000000002,4.0,41.0,28.5,4.8,12.9,2.1,7.8999999999999995,25.608888888888888,33.783696533194096,18.45,20.277711239576274,30.38148148148148,38.440455063429596,7.633333333333334,7.758867178163558
28.2,18.0,4.8,43.4,3.6,16.8,20.4,90.8,24.066666666666666,52.33333333333333,10.933333333333334,3.6666666666666665,41.0,27.0,4.2,12.6,2.4,8.6,25.94666666666667,34.329203621987205,19.133333333333333,21.068156181896967,30.488888888888884,38.92053110798465,7.866666666666667,7.857124230491856
28.1,19.0,5.3999999999999995,45.7,3.3000000000000003,17.4,22.2,90.9,26.7,53.666666666666664,8.466666666666665,3.333333333333333,41.0,25.5,3.6000000000000005,12.3,2.6999999999999997,9.3,26.284444444444446,34.87471071078032,19.816666666666666,21.858601124217664,30.59629629629629,39.400607152539706,8.100000000000001,7.955381282820153
28.0,20.0,6.0,48.0,3.0,18.0,24.0,91.0,29.333333333333332,55.0,6.0,3.0,41.0,24.0,3.0,12.0,3.0,10.0,26.622222222222224,35.42021779957343,20.5,22.649046066538357,30.7037037037037,39.88068319709477,8.333333333333334,8.05363833514845
26.1,22.9,6.0,43.9,3.6,19.1,24.0,96.6,26.7,50.9,6.3,4.433333333333334,40.266666666666666,25.1,3.8,12.0,2.7,10.0,26.64666666666667,35.92109038275542,20.266666666666666,22.49447100152102,30.899999999999995,40.578609766502936,8.233333333333334,8.091532073344752
24.2,25.8,6.0,39.8,4.2,20.2,24.0,102.2,24.066666666666666,46.8,6.6,5.866666666666666,39.53333333333333,26.2,4.6,12.0,2.4,10.0,26.671111111111113,36.42196296593742,20.033333333333335,22.339895936503684,31.09629629629629,41.27653633591111,8.133333333333333,8.129425811541052
