S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
78.0,9.0,0.0,26.0,33.0,45.0,3.0,14.0,8.0,2.0,23.0,50.0,9.0,48.0,9.0,78.0,3.0,38.0,23.8,34.089185013308544,31.833333333333332,44.49602437376877,18.444444444444446,21.74216548627652,39.666666666666664,35.73561880631876
77.7,9.7,2.0,23.4,33.0,41.6,3.0,14.0,8.2,2.2,23.133333333333333,47.93333333333333,9.0,46.8,11.2,78.0,3.0,39.9,23.524444444444445,33.26402961193192,31.23333333333333,43.60209134982599,18.385185185185186,21.116852823439903,40.3,37.08052982026383
77.4,10.4,4.0,20.8,33.0,38.2,3.0,14.0,8.4,2.4,23.266666666666666,45.86666666666667,9.0,45.6,13.4,78.0,3.0,41.8,23.24888888888889,32.43887421055529,30.633333333333333,42.70815832588321,18.325925925925926,20.49154016060329,40.93333333333333,38.42544083420889
77.1,11.1,6.0,18.2,33.0,34.8,3.0,14.0,8.6,2.6,23.4,43.8,9.0,44.4,15.600000000000001,78.0,3.0,43.7,22.973333333333333,31.613718809178664,30.03333333333333,41.81422530194044,18.26666666666667,19.866227497766673,41.56666666666666,39.77035184815396
76.8,11.8,8.0,15.6,33.0,31.4,3.0,14.0,8.8,2.8,23.53333333333333,41.733333333333334,9.0,43.2,17.8,78.0,3.0,45.6,22.697777777777777,30.788563407802037,29.433333333333334,40.92029227799766,18.20740740740741,19.240914834930056,42.199999999999996,41.11526286209902
76.5,12.5,10.0,13.0,33.0,28.0,3.0,14.0,9.0,3.0,23.666666666666664,39.666666666666664,9.0,42.0,20.0,78.0,3.0,47.5,22.42222222222222,29.96340800642541,28.833333333333332,40.02635925405488,18.14814814814815,18.615602172093443,42.83333333333333,42.460173876044095
76.2,13.2,12.0,10.399999999999999,33.0,24.6,3.0,14.0,9.2,3.2,23.8,37.599999999999994,9.0,40.8,22.200000000000003,78.0,3.0,49.4,22.146666666666665,29.138252605048784,28.233333333333334,39.1324262301121,18.08888888888889,17.990289509256826,43.46666666666667,43.80508488998916
75.9,13.899999999999999,14.0,7.800000000000001,33.0,21.2,3.0,14.0,9.4,3.4000000000000004,23.933333333333334,35.53333333333333,9.0,39.6,24.400000000000002,78.0,3.0,51.3,21.87111111111111,28.313097203672154,27.633333333333333,38.23849320616932,18.02962962962963,17.364976846420213,44.1,45.149995903934226
75.6,14.6,16.0,5.199999999999999,33.0,17.8,3.0,14.0,9.6,3.6,24.066666666666666,33.46666666666667,9.0,38.4,26.6,78.0,3.0,53.2,21.595555555555553,27.487941802295527,27.03333333333333,37.34456018222655,17.97037037037037,16.739664183583596,44.733333333333334,46.49490691787929
75.3,15.3,18.0,2.599999999999998,33.0,14.400000000000002,3.0,14.0,9.8,3.8,24.2,31.4,9.0,37.2,28.8,78.0,3.0,55.099999999999994,21.319999999999997,26.6627864009189,26.433333333333334,36.45062715828377,17.91111111111111,16.11435152074698,45.36666666666667,47.839817931824356
75.0,16.0,20.0,0.0,33.0,11.0,3.0,14.0,10.0,4.0,24.333333333333332,29.333333333333332,9.0,36.0,31.0,78.0,3.0,57.0,21.04444444444444,25.837630999542274,25.833333333333332,35.556694134340994,17.85185185185185,15.489038857910364,46.0,49.18472894576942
69.3,16.4,18.3,2.5,31.9,10.6,3.6,13.633333333333333,9.833333333333334,4.6,22.833333333333332,27.0,10.6,36.0,31.9,70.8,2.7,54.5,20.599999999999998,25.300440452586393,24.833333333333332,33.681669844475124,17.77777777777778,15.845329672732486,42.666666666666664,45.66067064397546
63.6,16.8,16.6,5.0,30.8,10.2,4.2,13.266666666666667,9.666666666666666,5.2,21.333333333333332,24.666666666666664,12.2,36.0,32.8,63.6,2.4,52.0,20.15555555555555,24.763249905630513,23.833333333333332,31.806645554609258,17.703703703703702,16.20162048755461,39.333333333333336,42.1366123421815
57.9,17.2,14.9,7.5,29.7,9.8,4.8,12.9,9.5,5.8,19.833333333333332,22.333333333333332,13.8,36.0,33.7,56.4,2.1,49.5,19.71111111111111,24.226059358674632,22.833333333333332,29.931621264743388,17.62962962962963,16.557911302376734,36.0,38.612554040387536
52.2,17.6,13.2,10.0,28.6,9.4,5.4,12.533333333333333,9.333333333333334,6.4,18.333333333333332,20.0,15.4,36.0,34.6,49.2,1.8,47.0,19.266666666666662,23.688868811718752,21.833333333333332,28.056596974877518,17.555555555555554,16.914202117198855,32.666666666666664,35.08849573859358
46.5,18.0,11.5,12.5,27.5,9.0,6.0,12.166666666666668,9.166666666666668,7.0,16.833333333333332,17.666666666666668,17.0,36.0,35.5,42.0,1.5,44.5,18.82222222222222,23.15167826476287,20.833333333333332,26.181572685011652,17.48148148148148,17.27049293202098,29.333333333333332,31.564437436799615
40.8,18.4,9.8,15.0,26.4,8.6,6.6,11.8,9.0,7.6,15.333333333333334,15.333333333333334,18.6,36.0,36.4,34.8,1.2000000000000002,42.0,18.377777777777773,22.614487717806988,19.833333333333336,24.306548395145782,17.40740740740741,17.626783746843103,26.0,28.04037913500565
35.1,18.8,8.1,17.5,25.299999999999997,8.2,7.2,11.433333333333334,8.833333333333334,8.2,13.833333333333334,13.0,20.200000000000003,36.0,37.3,27.6,0.8999999999999999,39.5,17.93333333333333,22.077297170851107,18.833333333333336,22.431524105279912,17.333333333333332,17.983074561665227,22.666666666666664,24.51632083321169
29.4,19.2,6.4,20.0,24.2,7.8,7.8,11.066666666666666,8.666666666666668,8.8,12.333333333333334,10.666666666666668,21.8,36.0,38.2,20.4,0.6000000000000001,37.0,17.488888888888887,21.540106623895227,17.833333333333336,20.556499815414043,17.25925925925926,18.33936537648735,19.333333333333332,20.99226253141773
23.699999999999996,19.6,4.700000000000001,22.5,23.1,7.4,8.399999999999999,10.700000000000001,8.5,9.399999999999999,10.833333333333334,8.333333333333336,23.4,36.0,39.1,13.200000000000003,0.30000000000000027,34.5,17.04444444444444,21.002916076939346,16.833333333333336,18.681475525548176,17.185185185185183,18.69565619130947,16.0,17.46820422962377
18.0,20.0,3.0,25.0,22.0,7.0,9.0,10.333333333333334,8.333333333333334,10.0,9.333333333333334,6.0,25.0,36.0,40.0,6.0,0.0,32.0,16.599999999999998,20.465725529983466,15.833333333333334,16.806451235682307,17.11111111111111,19.051947006131595,12.666666666666666,13.944145927829808
16.5,18.9,3.6,26.0,22.0,7.2,9.3,9.633333333333335,7.833333333333334,9.7,8.4,5.533333333333333,24.833333333333332,33.0,37.2,8.7,2.2,29.7,15.975555555555554,19.97077373657453,15.700000000000001,16.686087722045674,16.159259259259258,18.18834896032436,13.533333333333333,14.071749400550853
15.0,17.8,4.2,27.0,22.0,7.4,9.6,8.933333333333334,7.333333333333334,9.4,7.466666666666667,5.066666666666666,24.666666666666668,30.0,34.4,11.4,4.4,27.4,15.35111111111111,19.47582194316559,15.566666666666666,16.56572420840904,15.207407407407407,17.324750914517132,14.399999999999999,14.199352873271899
13.5,16.7,4.8,28.0,22.0,7.6,9.9,8.233333333333334,6.833333333333334,9.1,6.533333333333334,4.6,24.5,27.0,31.6,14.100000000000001,6.6000000000000005,25.1,14.726666666666665,18.980870149756655,15.433333333333334,16.445360694772408,14.255555555555555,16.4611528687099,15.266666666666666,14.326956345992944
12.0,15.6,5.4,29.0,22.0,7.8,10.2,7.533333333333334,6.333333333333334,8.8,5.6000000000000005,4.133333333333333,24.333333333333332,24.0,28.8,16.8,8.8,22.8,14.10222222222222,18.485918356347717,15.3,16.324997181135775,13.303703703703704,15.59755482290267,16.133333333333333,14.454559818713989
10.5,14.5,6.0,30.0,22.0,8.0,10.5,6.833333333333334,5.833333333333334,8.5,4.666666666666667,3.6666666666666665,24.166666666666664,21.0,26.0,19.5,11.0,20.5,13.477777777777778,17.99096656293878,15.166666666666668,16.20463366749914,12.351851851851851,14.733956777095436,17.0,14.582163291435034
9.0,13.399999999999999,6.6,31.0,22.0,8.2,10.8,6.133333333333335,5.333333333333334,8.2,3.7333333333333343,3.2,24.0,18.0,23.200000000000003,22.200000000000003,13.200000000000001,18.200000000000003,12.853333333333333,17.496014769529843,15.033333333333333,16.08427015386251,11.399999999999999,13.870358731288205,17.866666666666667,14.709766764156079
7.5,12.299999999999999,7.2,32.0,22.0,8.4,11.1,5.4333333333333345,4.833333333333334,7.9,2.8000000000000007,2.7333333333333334,23.833333333333332,15.0,20.400000000000002,24.900000000000002,15.400000000000002,15.900000000000002,12.22888888888889,17.001062976120906,14.9,15.963906640225874,10.448148148148146,13.006760685480973,18.733333333333334,14.837370236877124
6.0,11.2,7.8,33.0,22.0,8.6,11.4,4.733333333333334,4.333333333333334,7.6,1.8666666666666671,2.2666666666666666,23.666666666666664,12.0,17.6,27.6,17.6,13.600000000000001,11.604444444444445,16.50611118271197,14.766666666666667,15.84354312658924,9.496296296296295,12.143162639673742,19.599999999999998,14.96497370959817
4.5,10.1,8.399999999999999,34.0,22.0,8.8,11.7,4.033333333333334,3.833333333333334,7.300000000000001,0.9333333333333336,1.7999999999999998,23.5,9.0,14.8,30.3,19.8,11.3,10.98,16.01115938930303,14.633333333333333,15.723179612952608,8.544444444444443,11.27956459386651,20.466666666666665,15.092577182319214
3.0,9.0,9.0,35.0,22.0,9.0,12.0,3.3333333333333335,3.3333333333333335,7.0,0.0,1.3333333333333333,23.333333333333332,6.0,12.0,33.0,22.0,9.0,10.355555555555556,15.516207595894096,14.5,15.602816099315975,7.592592592592593,10.415966548059279,21.333333333333332,15.22018065504026
4.0,9.0,8.4,33.2,20.7,8.7,10.8,3.0,3.0,6.6,0.0,1.5333333333333332,22.23333333333333,6.7,11.7,33.6,22.6,9.4,9.971111111111112,14.803488149983435,14.0,14.853395290050166,7.285185185185185,10.148567050923406,21.866666666666667,15.253326604467016
5.0,9.0,7.8,31.4,19.4,8.4,9.6,2.666666666666667,2.666666666666667,6.2,0.0,1.7333333333333334,21.133333333333333,7.4,11.4,34.2,23.2,9.8,9.586666666666666,14.090768704072776,13.5,14.103974480784359,6.977777777777778,9.881167553787535,22.4,15.286472553893775
6.0,9.0,7.2,29.6,18.1,8.1,8.4,2.3333333333333335,2.3333333333333335,5.8,0.0,1.9333333333333333,20.03333333333333,8.1,11.1,34.8,23.8,10.2,9.202222222222222,13.378049258162115,13.0,13.35455367151855,6.67037037037037,9.613768056651661,22.933333333333334,15.319618503320534
7.0,9.0,6.6,27.8,16.8,7.8,7.2,2.0,2.0,5.4,0.0,2.1333333333333333,18.933333333333334,8.8,10.8,35.4,24.4,10.6,8.817777777777778,12.665329812251453,12.5,12.605132862252741,6.362962962962962,9.346368559515788,23.466666666666665,15.35276445274729
8.0,9.0,6.0,26.0,15.5,7.5,6.0,1.6666666666666665,1.6666666666666665,5.0,0.0,2.333333333333333,17.833333333333332,9.5,10.5,36.0,25.0,11.0,8.433333333333334,11.952610366340794,12.0,11.855712052986934,6.055555555555555,9.078969062379915,24.0,15.385910402174048
9.0,9.0,5.4,24.2,14.2,7.2,4.800000000000001,1.3333333333333335,1.3333333333333335,4.6,0.0,2.533333333333333,16.733333333333334,10.2,10.2,36.6,25.6,11.4,8.04888888888889,11.239890920430133,11.5,11.106291243721126,5.748148148148148,8.811569565244042,24.53333333333333,15.419056351600807
10.0,9.0,4.8,22.4,12.9,6.9,3.5999999999999996,1.0,1.0,4.199999999999999,0.0,2.7333333333333334,15.633333333333333,10.899999999999999,9.9,37.2,26.2,11.8,7.6644444444444435,10.527171474519474,11.0,10.356870434455317,5.44074074074074,8.544170068108171,25.066666666666666,15.452202301027565
11.0,9.0,4.2,20.6,11.6,6.6,2.4000000000000004,0.6666666666666665,0.6666666666666665,3.8,0.0,2.9333333333333336,14.533333333333333,11.6,9.6,37.8,26.8,12.2,7.279999999999999,9.814452028608812,10.5,9.60744962518951,5.133333333333333,8.276770570972298,25.6,15.485348250454322
12.0,9.0,3.6000000000000005,18.8,10.299999999999999,6.300000000000001,1.200000000000001,0.33333333333333304,0.33333333333333304,3.4,0.0,3.1333333333333333,13.433333333333334,12.3,9.3,38.4,27.4,12.6,6.895555555555555,9.101732582698151,10.0,8.858028815923701,4.825925925925926,8.009371073836425,26.133333333333333,15.51849419988108
13.0,9.0,3.0,17.0,9.0,6.0,0.0,0.0,0.0,3.0,0.0,3.3333333333333335,12.333333333333334,13.0,9.0,39.0,28.0,13.0,6.51111111111111,8.389013136787492,9.5,8.108608006657892,4.518518518518518,7.741971576700553,26.666666666666668,15.551640149307838
16.5,8.1,2.7,17.7,8.7,5.7,0.0,1.4,1.5,3.0,0.3,3.7,11.100000000000001,13.5,9.3,36.3,26.2,12.7,6.879999999999999,9.165668177846154,9.9,9.350906800492176,4.866666666666666,7.977760871440464,25.066666666666666,14.467880655168086
20.0,7.2,2.4,18.4,8.4,5.4,0.0,2.8,3.0,3.0,0.6,4.066666666666666,9.866666666666667,14.0,9.6,33.6,24.4,12.4,7.248888888888889,9.942323218904816,10.3,10.593205594326461,5.214814814814814,8.213550166180374,23.46666666666667,13.384121161028334
23.5,6.3,2.1,19.1,8.1,5.1,0.0,4.199999999999999,4.5,3.0,0.8999999999999999,4.433333333333334,8.633333333333333,14.5,9.9,30.9,22.6,12.1,7.6177777777777775,10.718978259963478,10.7,11.835504388160745,5.562962962962963,8.449339460920285,21.866666666666667,12.30036166688858
27.0,5.4,1.8,19.8,7.8,4.8,0.0,5.6,6.0,3.0,1.2,4.8,7.4,15.0,10.2,28.2,20.8,11.8,7.986666666666666,11.495633301022142,11.1,13.07780318199503,5.911111111111111,8.685128755660196,20.266666666666666,11.216602172748829
