S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
0.0,9.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,4.0,36.0,0.0,111.0,0.0,0.0,0.0,0.0,11.533333333333333,28.066270781055962,1.5,3.3541019662496847,18.22222222222222,34.54715867968748,0.0,0.0
0.0,8.1,0.0,0.0,0.0,0.9,3.6,8.5,0.0,0.0,4.5,35.1,0.0,105.3,0.0,0.0,0.0,0.0,11.066666666666666,26.700877742083343,1.5,3.3541019662496847,17.444444444444443,32.843703380636704,0.0,0.0
0.0,7.2,0.0,0.0,0.0,1.8,3.2,8.0,0.0,0.0,5.0,34.2,0.0,99.6,0.0,0.0,0.0,0.0,10.6,25.335484703110723,1.5,3.3541019662496847,16.666666666666664,31.140248081585934,0.0,0.0
0.0,6.3,0.0,0.0,0.0,2.7,2.8,7.5,0.0,0.0,5.5,33.3,0.0,93.9,0.0,0.0,0.0,0.0,10.133333333333333,23.970091664138103,1.5,3.3541019662496847,15.88888888888889,29.436792782535164,0.0,0.0
0.0,5.4,0.0,0.0,0.0,3.6,2.4,7.0,0.0,0.0,6.0,32.4,0.0,88.2,0.0,0.0,0.0,0.0,9.666666666666666,22.604698625165486,1.5,3.3541019662496847,15.11111111111111,27.73333748348439,0.0,0.0
0.0,4.5,0.0,0.0,0.0,4.5,2.0,6.5,0.0,0.0,6.5,31.5,0.0,82.5,0.0,0.0,0.0,0.0,9.2,21.239305586192867,1.5,3.3541019662496847,14.333333333333332,26.02988218443362,0.0,0.0
0.0,3.5999999999999996,0.0,0.0,0.0,5.4,1.5999999999999996,6.0,0.0,0.0,7.0,30.6,0.0,76.8,0.0,0.0,0.0,0.0,8.733333333333334,19.873912547220247,1.5,3.3541019662496847,13.555555555555555,24.32642688538285,0.0,0.0
0.0,2.7,0.0,0.0,0.0,6.3,1.1999999999999997,5.5,0.0,0.0,7.5,29.7,0.0,71.1,0.0,0.0,0.0,0.0,8.266666666666666,18.50851950824763,1.5,3.3541019662496847,12.777777777777779,22.622971586332078,0.0,0.0
0.0,1.7999999999999998,0.0,0.0,0.0,7.2,0.7999999999999998,5.0,0.0,0.0,8.0,28.8,0.0,65.4,0.0,0.0,0.0,0.0,7.8,17.14312646927501,1.5,3.3541019662496847,12.0,20.919516287281308,0.0,0.0
0.0,0.9000000000000004,0.0,0.0,0.0,8.1,0.3999999999999999,4.5,0.0,0.0,8.5,27.9,0.0,59.699999999999996,0.0,0.0,0.0,0.0,7.333333333333333,15.777733430302389,1.5,3.3541019662496847,11.222222222222221,19.216060988230538,0.0,0.0
