S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
51.0,18.0,18.0,0.0,18.0,0.0,0.0,55.0,19.0,9.0,0.0,0.0,45.0,27.0,9.0,0.0,0.0,9.0,17.933333333333334,18.350174083340157,17.5,17.00735135169495,18.22222222222222,19.187830505457697,3.0,4.242640687119285
49.8,24.9,16.2,0.0,18.0,0.9,2.7,52.5,17.1,9.0,0.9,0.0,42.7,26.1,8.1,0.0,0.0,8.1,17.926666666666666,18.722075089648804,18.3,18.35989314467986,17.677777777777777,18.389342830424592,2.7,3.818376618407356
48.6,31.8,14.4,0.0,18.0,1.8,5.4,50.0,15.2,9.0,1.8,0.0,40.4,25.2,7.2,0.0,0.0,7.2,17.92,19.09397609595745,19.1,19.71243493766477,17.133333333333333,17.590855155391488,2.4,3.3941125496954276
47.4,38.7,12.6,0.0,18.0,2.7,8.100000000000001,47.5,13.3,9.0,2.7,0.0,38.1,24.3,6.3,0.0,0.0,6.3,17.913333333333334,19.465877102266102,19.9,21.064976730649683,16.58888888888889,16.79236748035838,2.1,2.9698484809834995
46.2,45.6,10.8,0.0,18.0,3.6,10.8,45.0,11.4,9.0,3.6,0.0,35.8,23.4,5.4,0.0,0.0,5.4,17.906666666666666,19.83777810857475,20.7,22.41751852363459,16.044444444444444,15.993879805325276,1.8,2.545584412271571
45.0,52.5,9.0,0.0,18.0,4.5,13.5,42.5,9.5,9.0,4.5,0.0,33.5,22.5,4.5,0.0,0.0,4.5,17.9,20.209679114883397,21.5,23.7700603166195,15.5,15.19539213029217,1.5,2.1213203435596424
43.8,59.400000000000006,7.199999999999999,0.0,18.0,5.4,16.200000000000003,40.0,7.600000000000001,9.0,5.4,0.0,31.200000000000003,21.6,3.5999999999999996,0.0,0.0,3.5999999999999996,17.893333333333334,20.581580121192044,22.3,25.12260210960441,14.955555555555556,14.396904455259065,1.2000000000000002,1.6970562748477143
42.6,66.30000000000001,5.4,0.0,18.0,6.3,18.900000000000002,37.5,5.700000000000001,9.0,6.3,0.0,28.900000000000002,20.7,2.7,0.0,0.0,2.7,17.886666666666667,20.95348112750069,23.1,26.475143902589323,14.411111111111111,13.59841678022596,0.8999999999999999,1.2727922061357857
41.4,73.2,3.5999999999999996,0.0,18.0,7.2,21.6,35.0,3.8000000000000007,9.0,7.2,0.0,26.6,19.8,1.7999999999999998,0.0,0.0,1.7999999999999998,17.88,21.32538213380934,23.9,27.82768569557423,13.866666666666667,12.799929105192856,0.6000000000000001,0.8485281374238571
40.2,80.1,1.8000000000000007,0.0,18.0,8.1,24.3,32.5,1.9000000000000021,9.0,8.1,0.0,24.3,18.9,0.9000000000000004,0.0,0.0,0.9000000000000004,17.873333333333335,21.69728314011799,24.7,29.18022748855914,13.322222222222223,12.00144143015975,0.30000000000000027,0.42426406871192857
