S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
30.0,30.0,0.0,66.0,0.0,9.0,0.0,66.0,0.0,80.0,88.0,0.0,87.0,33.0,0.0,9.0,0.0,9.0,32.6,34.11119073461572,22.5,23.092206477510977,39.333333333333336,38.34637459323168,6.0,4.242640687119285
32.7,28.8,1.8,63.6,0.0,9.9,0.0,64.2,6.9,83.1,79.2,0.0,87.0,30.6,0.0,9.0,0.0,8.1,32.52,34.149941223905756,22.8,22.646450345118303,39.0,38.64453279786288,5.7,4.242640687119285
35.4,27.6,3.6,61.2,0.0,10.8,0.0,62.4,13.8,86.2,70.4,0.0,87.0,28.2,0.0,9.0,0.0,7.2,32.44,34.1886917131958,23.1,22.200694212725626,38.66666666666667,38.94269100249407,5.4,4.242640687119285
38.1,26.4,5.4,58.8,0.0,11.7,0.0,60.6,20.700000000000003,89.3,61.599999999999994,0.0,87.0,25.8,0.0,9.0,0.0,6.3,32.36,34.22744220248584,23.4,21.754938080332952,38.333333333333336,39.24084920712527,5.1,4.242640687119285
40.8,25.2,7.2,56.4,0.0,12.6,0.0,58.8,27.6,92.4,52.8,0.0,87.0,23.4,0.0,9.0,0.0,5.4,32.28,34.26619269177588,23.7,21.309181947940274,38.0,39.539007411756465,4.8,4.242640687119285
43.5,24.0,9.0,54.0,0.0,13.5,0.0,57.0,34.5,95.5,44.0,0.0,87.0,21.0,0.0,9.0,0.0,4.5,32.2,34.30494318106592,24.0,20.8634258155476,37.66666666666667,39.837165616387665,4.5,4.242640687119285
46.2,22.8,10.8,51.6,0.0,14.4,0.0,55.2,41.400000000000006,98.6,35.199999999999996,0.0,87.0,18.6,0.0,9.0,0.0,3.5999999999999996,32.120000000000005,34.34369367035596,24.3,20.417669683154926,37.333333333333336,40.135323821018865,4.2,4.242640687119285
48.900000000000006,21.6,12.6,49.2,0.0,15.3,0.0,53.4,48.300000000000004,101.7,26.39999999999999,0.0,87.0,16.2,0.0,9.0,0.0,2.7,32.04,34.382444159646,24.6,19.97191355076225,37.0,40.43348202565006,3.9,4.242640687119285
51.6,20.4,14.4,46.8,0.0,16.2,0.0,51.6,55.2,104.8,17.599999999999994,0.0,87.0,13.8,0.0,9.0,0.0,1.7999999999999998,31.96,34.42119464893604,24.9,19.526157418369575,36.666666666666664,40.73164023028126,3.6,4.242640687119285
54.3,19.200000000000003,16.2,44.400000000000006,0.0,17.1,0.0,49.8,62.1,107.9,8.799999999999997,0.0,87.0,11.400000000000002,0.0,9.0,0.0,0.9000000000000004,31.880000000000003,34.45994513822608,25.2,19.080401285976897,36.333333333333336,41.02979843491245,3.3000000000000003,4.242640687119285
